-150, COM28, A0, useless comment,
38350, COM28, M1, first animation, big white flash, at the end of the white wheel,
45550, COM28, M2, flash with music rythm, and blue flash on the right,
46850, COM28, M3, left shoulder cyan,
48070, COM28, M4, right shoulder cyan,
50530, COM28, M5, blue gradient top to bottom, when two blue balls fall,
51930, COM28, M6, purple => yellow line,
53650, COM28, M7, purple v<= cyan dot,
54610, COM28, M8, purple =>^ cyan dot,
56575, COM28, M9, 5 beats on rythm, rainbow on screen, dancer bows down,
58850, COM28, Ma, useless comment,
67370, COM28, AA, useless comment,
68850, COM28, Fz, show beauty of girls skirt,
72530, COM28, AB, gradient yellow => cyan ,
77370, COM28, AC, gradient yellow => purple,
80950, COM28, Fb, gradient on girl, sending color in the air,
81730, COM28, MD, color explod on the man,
82130, COM28, Fc, gradient on girl, sending color in the air,
82730, COM28, ME, color explod on the man,
83290, COM28, Fd, gradient on girl, sending color in the air,
83730, COM28, MF, color explod on the man,
84290, COM28, Fe, gradient on girl, sending color in the air,
84730, COM28, MG, color explod on the man,
85290, COM28, Ff, gradient on girl, sending color in the air,
85650, COM28, MH, color explod on the man,
86250, COM28, Fg, gradient on girl, sending color in the air,
86650, COM28, MI, color explod on the man,
87250, COM28, Fh, gradient on girl, sending color in the air,
87650, COM28, MJ, color explod on the man,
88650, COM28, Fi, gradient on girl, sending color in the air,
89050, COM28, MK, color explod on the man,
93490, COM28, ML, gradient from top to bottom on the man,
95490, COM28, Fj, gradient from top to bottom on the girl,
95850, COM28, AM, useless comment,
99850, COM28, AN, useless comment,
